market_id,market_ticker,series_ticker,end_period_ts,date_utc,price_open,price_low,price_high,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1724212800,2024-08-21 00:00:00+00:00,0.35,0.35,0.35,0.35,0.35,0.34,0.35,0.4,151.0,23104.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1724299200,2024-08-22 00:00:00+00:00,0.4,0.39,0.4,0.39,0.3991,0.35,0.39,0.4,53.0,23109.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1724385600,2024-08-23 00:00:00+00:00,0.39,0.39,0.39,0.39,0.39,0.39,0.36,0.4,20.0,23110.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1724472000,2024-08-24 00:00:00+00:00,0.38,0.38,0.46,0.46,0.4146,0.39,0.36,0.52,155.0,23110.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1724558400,2024-08-25 00:00:00+00:00,0.44,0.44,0.54,0.54,0.4838,0.46,0.37,0.54,16.0,23118.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1724644800,2024-08-26 00:00:00+00:00,0.45,0.44,0.45,0.44,0.445,0.54,0.37,0.54,172.0,23118.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1724731200,2024-08-27 00:00:00+00:00,0.53,0.39,0.54,0.39,0.4226,0.44,0.37,0.53,223.0,23143.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1724817600,2024-08-28 00:00:00+00:00,0.37,0.28,0.44,0.28,0.3866,0.39,0.28,0.43,1369.0,23913.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1724904000,2024-08-29 00:00:00+00:00,0.43,0.43,0.48,0.48,0.4717,0.28,0.31,0.38,120.0,24033.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1724990400,2024-08-30 00:00:00+00:00,0.29,0.29,0.39,0.39,0.3275,0.48,0.31,0.39,80.0,24113.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1725076800,2024-08-31 00:00:00+00:00,,,,,,0.39,0.29,0.38,0.0,24113.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1725163200,2024-09-01 00:00:00+00:00,0.28,0.28,0.28,0.28,0.28,0.39,0.28,0.38,13.0,24113.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1725249600,2024-09-02 00:00:00+00:00,,,,,,0.28,0.26,0.36,0.0,24113.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1725336000,2024-09-03 00:00:00+00:00,0.27,0.27,0.27,0.27,0.27,0.28,0.26,0.35,132.0,23981.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1725422400,2024-09-04 00:00:00+00:00,0.34,0.34,0.34,0.34,0.34,0.27,0.26,0.35,72.0,24053.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1725508800,2024-09-05 00:00:00+00:00,0.27,0.27,0.28,0.28,0.2731,0.34,0.28,0.35,72.0,24053.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1725595200,2024-09-06 00:00:00+00:00,0.33,0.33,0.33,0.33,0.33,0.28,0.28,0.31,28.0,24081.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1725681600,2024-09-07 00:00:00+00:00,0.28,0.25,0.28,0.27,0.264,0.33,0.16,0.27,505.0,24118.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1725768000,2024-09-08 00:00:00+00:00,0.27,0.27,0.27,0.27,0.27,0.27,0.16,0.27,10.0,24118.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1725854400,2024-09-09 00:00:00+00:00,0.16,0.16,0.33,0.33,0.2151,0.27,0.19,0.51,57.0,24124.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1725940800,2024-09-10 00:00:00+00:00,,,,,,0.33,0.19,0.46,0.0,24124.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1726027200,2024-09-11 00:00:00+00:00,,,,,,0.33,0.19,0.35,0.0,24124.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1726113600,2024-09-12 00:00:00+00:00,,,,,,0.33,0.23,0.4,0.0,24124.0
